A,P,Панто-денк 40,Пантопразол,40мг,Бүрхүүлтэй шахмал,28,"Advance Pharma GmbH, Germany for Denk Pharma GmbH & Co. KG, Germany",Герман,2023.04.09,4031571055171
J,P,Ванкомицин,Ванкомицин,1г,Тарилгын уусмал бэлтгэх нунтаг,50,Kraspharma JSC,ОХУ,2023.04.09,4602521009119
J,P,Лево-денк 500,Левофлоксацин,500мг,Бүрхүүлтэй шахмал,10,Rottendorf Pharma GMBH,Герман,2023.04.09,4031571058615
J,P,Лево-денк 500,Левофлоксацин,500мг,Бүрхүүлтэй шахмал,5,Rottendorf Pharma GMBH,Герман,2023.04.09, 
M,P,Вольтарен рапид,Диклофенак,50мг,Бүрхүүлтэй шахмал,20,Novartis Saglik Gida Ve Tarim Urunleri Sanayi Ve Ticaret A.S,Турк,2023.04.09,7612797195239
N,P,Налтрексон,Налтрексон,50мг,Бүрхүүлтэй шахмал,30,"Rusan Pharma Ltd.,",БНЭУ,2023.04.09,8901087676787
N,P,Трамадол денк 50,Трамадолын гидрохлорид,50мг,Уусдаг шахмал,10,"Losan Pharma GmbH, Germany for Denk Pharma GmbH & Co.KG, Germany",Герман,2023.04.09,4031571057281
R,P,Онбрез бризхайлер,Индакатерол,150 мкг,Капсул,30,Novartis Pharma Stein AG,Швейцари,2023.04.09,7680601410014
S,O,Начу уру баланс,Калийн аспартат + Глюкоз + Натрийн хлорид + Калийн хлорид,15мл,Нүдний дусал,1,Saga Pharmaceutical Co.Ltd,Япон,2023.04.09,498733256040
J,P,Мегасеф,Цефуроксим,250мг,Тарилгын уусмал бэлтгэх нунтаг,1,Nobel Ilac Sanayii Ve Ticaret A.S,Турк,2023.06.21, 
N,P,Карбамазепин,Карбамазепин,200мг,Шахмал,50,"Rusan Pharma Ltd.,",БНЭУ,2023.06.21,8901087674271
C,P,Бидоп,Бисопролол,5мг,Шахмал,14,Gedeon Richter PLC,Унгар,2023.07.08, 
C,P,Бидоп,Бисопролол,5мг,Шахмал,28,Gedeon Richter PLC,Унгар,2023.07.08,4605469002235
C,P,Бидоп,Бисопролол,5мг,Шахмал,56,Gedeon Richter PLC,Унгар,2023.07.08, 
C,P,Бидоп,Бисопролол,10мг,Шахмал,14,Gedeon Richter PLC,Унгар,2023.07.08, 
C,P,Бидоп,Бисопролол,10мг,Шахмал,28,Gedeon Richter PLC,Унгар,2023.07.08,4605469002242
C,P,Бидоп,Бисопролол,10мг,Шахмал,56,Gedeon Richter PLC,Унгар,2023.07.08, 
G,O,Витапрост,Простатын ханд,20мг,Шахмал,20,Nizhpharm JSC,ОХУ,2023.07.08,4601026307355
A,P,Глюкофаж,Метформин,500мг,Бүрхүүлтэй шахмал,60,Merck Sante S.A.S,Франц,2023.09.25, 
A,P,Глюкофаж,Метформин,850мг,Бүрхүүлтэй шахмал,60,Merck Sante S.A.S,Франц,2023.09.25,3596540010076
A,P,Глюкофаж,Метформин,1000мг,Бүрхүүлтэй шахмал,60,Merck Sante S.A.S,Франц,2023.09.25, 
A,P,Глюкофаж ХР,Метформин,500мг,Уртасгасан үйлдэлтэй шахмал,30,Merck Sante S.A.S,Франц,2023.09.25,3596540070100
A,P,Глюкофаж ХР,Метформин,500мг,Уртасгасан үйлдэлтэй шахмал,60,Merck Sante S.A.S,Франц,2023.09.25, 
A,P,Лапраз,Лансопразол,30мг,Капсул,20,PT. Sanbe Farma,Индонез,2023.09.25,8993008320022
C,P,Милдронат,Мельдоний,500мг,Капсул,60,Grindeks,Латви,2023.09.25,4750232003299
C,P,Даприл,Лизиноприл,5мг,Шахмал,30,Medochemie Ltd,Кипр,2023.09.25,5290931000124
C,P,Даприл,Лизиноприл,10мг,Шахмал,30,Medochemie Ltd,Кипр,2023.09.25,5290931000131
C,P,Даприл,Лизиноприл,20мг,Шахмал,30,Medochemie Ltd,Кипр,2023.09.25,5290931003620
J,P,Текназол,Итраконазол,100мг,Капсул,15,Nobel Almaty Pharmaceutical Factory JSC,Казакстан,2023.09.25,4870004330634
J,P,Текназол,Итраконазол,100мг,Капсул,4,Nobel Almaty Pharmaceutical Factory JSC,Казакстан,2023.09.25, 
J,P,Зидифек,Цефтазидим,1г,Тарилгын уусмал бэлтгэх нунтаг,1,PT. Sanbe Farma,Индонез,2023.09.25,8993008300130
N,P,Кетилепт,Кветиапин,100мг,Бүрхүүлтэй шахмал,30,Egis Pharmaceuticals PLC,Унгар,2023.09.25, 
N,P,Кетилепт,Кветиапин,100мг,Бүрхүүлтэй шахмал,60,Egis Pharmaceuticals PLC,Унгар,2023.09.25, 
N,P,Брайнакт,Цитиколин,500мг,Шахмал,30,PT. Dankos Farma,Индонез,2023.09.25,8995858017558
N,P,Арфен,Парацетамол,125мг,Лаа,10,Medochemie Ltd,Кипр,2023.09.25,5290931007178
N,P,Арфен,Парацетамол,250мг,Лаа,10,Medochemie Ltd,Кипр,2023.09.25,5290931007161
N,P,Арфен,Парацетамол,500мг,Лаа,10,Medochemie Ltd,Кипр,2023.09.25,5290931007215
V,P,Видатокс, ,30мл,Уусмал,1,Labiofam entrepreneurial group,Куба,2023.09.25,H11038N02
A,O,Эссливер форте,Фосфолипид,300мг,Капсул,30,Nabros Pharma Privet Limited India for JSC,ОХУ,2023.12.03,4601026304613
A,O,Эссливер форте,Фосфолипид,300мг,Капсул,50,Nabros Pharma Privet Limited India for JSC,ОХУ,2023.12.03,4601026157486
A,P,Фамоцид 20,Фамотидин,20мг,Бүрхүүлтэй шахмал,6x5,PT. Sanbe Farma,Индонез,2023.12.03,8993008320015
A,P,Ультоп,Омепразол,40мг,Тарилгын уусмал бэлтгэх нунтаг,1,"KRKA d.d., Novo Mesto",Словени,2023.12.03,3838989520749
B,P,Ксарелто,Ривароксабан,20мг,Бүрхүүлтэй шахмал,28,Bayer AG,Герман,2023.12.03,4008500100974
B,P,Ксарелто,Ривароксабан,15мг,Бүрхүүлтэй шахмал,28,Bayer AG,Герман,2023.12.03,4008500100936
C,P,Лориста,Лозартан,100мг,Бүрхүүлтэй шахмал,28,"KRKA d.d., Novo Mesto",Словени,2023.12.03,3838989559687
H,P,Санексон 125,Метилпреднизолон,125мг,Тарилгын уусмал бэлтгэх нунтаг,1,PT. Sanbe Farma,Индонез,2023.12.03,8993008360011
H,P,Санексон 500,Метилпреднизолон,500мг,Тарилгын уусмал бэлтгэх нунтаг,1,PT. Sanbe Farma,Индонез,2023.12.03,8993008360028
J,P,Моксиклав,Амоксициллин + Клавуланы хүчил,1.2г,Тарилгын уусмал бэлтгэх нунтаг,10,Medochemie Ltd,Кипр,2023.12.03,5290931007581
J,P,Моксиклав,Амоксициллин + Клавуланы хүчил,1.2г,Тарилгын уусмал бэлтгэх нунтаг,1,Medochemie Ltd,Кипр,2023.12.03,5290931007574
M,P,Эпринок,Эперизон,50мг,Бүрхүүлтэй шахмал,10x10,PT. Sanbe Farma,Индонез,2023.12.03,8993008350012
N,P,Амитриптилин - Гриндекс,Амитриптилин,10мг,Бүрхүүлтэй шахмал,50,Grindeks JSC,Латви,2023.12.03,4750232002995
N,P,Амитриптилин - Гриндекс,Амитриптилин,25мг,Бүрхүүлтэй шахмал,50,Grindeks JSC,Латви,2023.12.03,4750232005156
S,P,Эритромицин,Эритромицин,10г,Тосон түрхлэг,1,Sintez JSC,ОХУ,2023.12.03,4602565019556
V,O,Солуплекс,Поливитамин,15мл,Уусмал,1,Binh Dinh Pharmaceutical and Medical Equipment Joint Stock Company (BIDIPHAR),Вьетнам,2023.12.03,8934690011867
A,P,Глизен 30,Гликлазид,30мг,Шахмал,100,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28, 
A,P,Глизен 60,Гликлазид,60мг,Шахмал,100,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28, 
A,P,Глизен 80,Гликлазид,80мг,Шахмал,100,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28, 
A,P,Орсотен,Цетрореликс,120мг,Капсул,21,"KRKA d.d., Novo Mesto",Словени,2024.01.28,4607055135266
B,O,Фолийн хүчил,Фолийн хүчил,1мг,Шахмал,50,Озон,ОХУ,2019.01.28, 
C,P,Карведи - денк,Карведилол,25мг,Шахмал,30,Allpharma Pharbil Arzneimittel GmbH,Герман,2024.01.28,4031571062995
C,P,Карведи - денк,Карведилол,6.25мг,Шахмал,30,Artesan Pharma GmbH & Co.KG for Denk Pharma GmbH & Co.KG,Герман,2024.01.28,4031571063008
C,P,Амлоцим,Амлодипин,5мг,Шахмал,30,Acino Pharma AG,Швейцари,2019.01.28,7640153082930
C,P,Амлоцим,Амлодипин,10мг,Шахмал,30,Acino Pharma AG,Швейцари,2019.01.28,7640153082954
J,P,Левокса,Левофлоксацин,250мг,Бүрхүүлтэй шахмал,10,Actavis Ltd,Мальта,2019.01.28,5690528224023
J,P,Левокса,Левофлоксацин,500мг,Бүрхүүлтэй шахмал,10,Actavis Ltd,Мальта,2019.01.28, 
L,P,Циклофосфамид,Циклофосфамид,200мг,Тарилгын уусмал бэлтгэх нунтаг,1,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28, 
M,P,Кетонал,Кетопрофен,100мг,Лаа,12,"Sandoz Ilac Sanayii Ve Ticaret A.S, Turkey for Lek Pharmaceuticals D.D, Slovenia",Турк,2024.01.28,8699516894009
N,P,Севофлуран БП,Севофлуран,250мл,Ингаляци,1,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28, 
N,P,Изофлуран БП,Изофлуран,250мл,Ингаляци,1,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28, 
A,P,Меглюкон,Метформин,500мг,Бүрхүүлтэй шахмал,30,"Lek S.A.,",Словени,2019.03.18, 
A,P,Меглюкон,Метформин,850мг,Бүрхүүлтэй шахмал,30,"Lek S.A.,",Словени,2019.03.18, 
A,P,Тиоктацид 600БВ,Тиоктик ацид,600мг,Бүрхүүлтэй шахмал,100,"Meda Manufacturing GmbH, Germany for Meda Pharma GmbH & Co.KG, Germany",Герман,2019.03.18, 
A,P,Тиоктацид 600БВ,Тиоктик ацид,600мг,Бүрхүүлтэй шахмал,30,"Meda Manufacturing GmbH, Germany for Meda Pharma GmbH & Co.KG, Germany",Герман,2019.03.18,4019338600178
B,P,Пантоген,Глюкоз + Аскорбины хүчил + Тиамин + Рибофлавин + Никотинамид + Пиридоксины гидрохлорид + Пантенол,1мг+50мг+0.25мг+0.5мг+0.05мг+0.05мг+0.25мг-250мл,Тарилгын шингэн,1,"Taiwan Biotech Co.,Ltd",Тайвань,2024.03.18,4711916012464
B,P,Пантоген,Глюкоз + Аскорбины хүчил + Тиамин + Рибофлавин + Никотинамид + Пиридоксины гидрохлорид + Пантенол,1мг+50мг+0.25мг+0.5мг+0.05мг+0.05мг+0.25мг-500мл,Тарилгын шингэн,1,"Taiwan Biotech Co.,Ltd",Тайвань,2024.03.18,4711916012471
C,P,Валз,Валсартан,80мг,Бүрхүүлтэй шахмал,28,Balkanpharma-Dupnitsa AD,Болгар,2019.03.18,4607141997761
C,P,Валз,Валсартан,160мг,Бүрхүүлтэй шахмал,28,Balkanpharma-Dupnitsa AD,Болгар,2019.03.18,4607141997785
G,P,Мадонна,Левоноргестрел,0.75мг,Шахмал,2,"Biolab Co.,Ltd",Тайланд,2024.03.18,8852662001725
G,P,Везикар,Солифенацин,5мг,Бүрхүүлтэй шахмал,30,Astellas Pharma Europe B.V.,Нидерланд,2024.03.18,4607098450098
J,P,Лендацин,Цефтриаксон,1г,Тарилгын уусмал бэлтгэх нунтаг,5,Sandoz GmbH,Австри,2024.03.18,9002260013128
J,P,Меропенем Сандоз,Меропенем,1000мг,Тарилгын уусмал бэлтгэх нунтаг,10,Sandoz Private Limited,БНЭУ,2019.03.18, 
J,P,Микамин,Микафунгин,50мг,Тарилгын уусмал бэлтгэх лиофилизат нунтаг,1,"Astellas Ireland Co.,Ltd",Ирланд,2024.03.18,46 07 09 84 51 108
J,P,Микамин,Микафунгин,100мг,Тарилгын уусмал бэлтгэх лиофилизат нунтаг,1,"Astellas Ireland Co.,Ltd",Ирланд,2024.03.18,46 07 09 84 51 118
J,P,Сефпотек,Цефподоксим,200мг,Бүрхүүлтэй шахмал,10,Nobel Almaty Pharmaceutical Factory JSC,Казакстан,2019.03.18, 
J,P,Сефпотек,Цефподоксим,200мг,Бүрхүүлтэй шахмал,14,Nobel Almaty Pharmaceutical Factory JSC,Казакстан,2019.03.18, 
M,P,Диклак 150,Диклофенак,150мг,Уртасгасан үйлдэлтэй шахмал,100,Salutas Pharma GmbH,Герман,2024.03.18,4030855426171
M,P,Диклак 150,Диклофенак,150мг,Уртасгасан үйлдэлтэй шахмал,20,Salutas Pharma GmbH,Герман,2024.03.18,4030855426218
N,O,Билобил интенсе,ГИНКО БИЛОБА,120мг,Капсул,20,"KRKA d.d., Novo Mesto",Словени,2024.03.18,3838989566098
N,P,Трамадол гидрохлорид,Трамадолын гидрохлорид,50мг,Капсул,30,PT. Actavis Indonesia,Индонез,2019.03.18, 
N,P,Лесемос,Леветирацетам,250мг,Бүрхүүлтэй шахмал,100,Actavis Ltd,Мальта,2019.03.18, 
N,P,Лесемос,Леветирацетам,500мг,Бүрхүүлтэй шахмал,100,Actavis Ltd,Мальта,2019.03.18, 
N,P,Лесемос,Леветирацетам,750мг,Бүрхүүлтэй шахмал,100,Actavis Ltd,Мальта,2019.03.18, 
N,P,Лесемос,Леветирацетам,1000мг,Бүрхүүлтэй шахмал,100,Actavis Ltd,Мальта,2019.03.18, 
A,O,Фарматон кидди, ,100мл,Сироп,1,Ginsana S.A,Швейцари,2019.04.29, 
A,P,Тамипүүл, , ,Тарилгын уусмал бэлтгэх лиофилизат нунтаг,10,Celltrion Pharm. Inc,БНСУ,2024.04.29,8656021044220
A,P,Хансео Хепадиф, , ,Тарилгын уусмал бэлтгэх лиофилизат нунтаг,10,Celltrion Pharm. Inc,БНСУ,2019.04.29, 
A,P,Лэиннек,Хүний ихэсийн гидролизат,112мг-2мл,Тарилгын уусмал,50,Green Cross Wellbeing Corporation,БНСУ,2024.04.29, 
A,O,Урсокапс,Урсодезоксихолын хүчил,250мг,Капсул,50,Minskintercaps UV,Беларусь,2024.04.29,4810046003066
A,P,Легалон 140,Силимарин,140мг,Капсул,100,Madaus GmbH,Герман,2019.04.29, 
A,P,Легалон 140,Силимарин,140мг,Капсул,30,Madaus GmbH,Герман,2019.04.29, 
A,P,Легалон 140,Силимарин,140мг,Капсул,60,Madaus GmbH,Герман,2019.04.29, 
C,P,Клопи-Денк,Клопидогрел,75мг,Бүрхүүлтэй шахмал,30,Artesan Pharma GmbH & Co.KG for Denk Pharma GmbH & Co.KG,Герман,2024.04.29,4031571067068
B,P,Плавикс,Клопидогрел,75мг,Бүрхүүлтэй шахмал,14,Sanofi Winthrop Industrie - Synthelabo,Франц,2024.04.29,3582910004349
B,P,Плавикс,Клопидогрел,75мг,Бүрхүүлтэй шахмал,28,Sanofi Winthrop Industrie - Synthelabo,Франц,2024.04.29,3582910014188
C,P,Етексатри,Аденозиний фосфат,21.96мг,Шахмал,10x10,"Theragen Etex Co.,Ltd",БНСУ,2024.04.29,8656021044176
C,P,Вивейс,Рамиприл,2.5мг,Шахмал,30,Balkanpharma-Dupnitsa AD,Болгар,2019.04.29,5690528148206
C,P,Вивейс,Рамиприл,5мг,Шахмал,30,Balkanpharma-Dupnitsa AD,Болгар,2019.04.29,5690528148329
